Tiempos,Distancia,Velocidad,Aceleracion,delta_tiempo_1,delta_tiempo_2,Aceleracion como la calculo yo en el programa,,,,Vm,Vp
345921905,1.08,,,,,,,,,2.08156657158276,2.61481065733435
345927884,2.16,1.80632212744606,,,,,,,,,
345933532,3.24,1.91218130311615,9.10459926637017,5648,5979,9.10459926637017,,,,,
345938760,4.32,2.06579954093344,14.1245161656205,5228,5648,14.1245161656205,,,,Vm app,Vp app
345943624,5.4,2.22039473684211,15.3185885759681,4864,5228,15.3185885759681,,,,2.08,2.61
345948331,6.48,2.29445506692161,7.7379929035107,4707,4864,7.73799290351069,,,,,
345952794,7.56,2.41989693031593,13.6795925184651,4463,4707,13.6795925184651,,,,,
345957115,8.64,2.49942143022449,9.05333559978988,4321,4463,9.05333559978987,,,,,
345961325,9.72,2.56532066508314,7.72467880185796,4210,4321,7.72467880185796,,,,,
345965526,10.8,2.57081647226851,0.653407107998113,4201,4210,0.653407107998113,,,,,
345969683,11.88,2.5980274236228,3.25567735753736,4157,4201,3.25567735753736,,,,,
345973759,12.96,2.64965652600589,6.27099506657149,4076,4157,6.27099506657149,,,,,
345977667,14.04,2.76356192425793,14.2667081979014,3908,4076,14.2667081979014,,,,,
345981563,15.12,2.77207392197125,1.09072241329061,3896,3908,1.09072241329061,,,,,
345985498,16.2,2.74459974587039,-3.5083866812487,3935,3896,-3.5083866812487,,,,,
345989378,17.28,2.78350515463918,4.97829926663867,3880,3935,4.97829926663867,,,,,
345993166,18.36,2.85110876451954,8.81632888371936,3788,3880,8.81632888371936,,,,,
345996966,19.44,2.84210526315789,-1.18654472346343,3800,3788,-1.18654472346343,,,,,
346000796,20.52,2.81984334203655,-2.91768297789532,3830,3800,-2.91768297789532,,,,,
346004683,21.6,2.77849241059943,-5.35842055683808,3887,3830,-5.35842055683808,,,,,
346008663,22.68,2.71356783919598,-8.25277378968525,3980,3887,-8.25277378968525,,,,,
346012772,23.76,2.62837673399854,-10.5317227342614,4109,3980,-10.5317227342614,,,,,
346017059,24.84,2.51924422673198,-12.9981547482801,4287,4109,-12.9981547482801,,,,,
346021559,25.92,2.4,-13.57052768089,4500,4287,-13.57052768089,,,,,
346026083,27,2.38726790450928,-1.4109148371804,4524,4500,-1.4109148371804,,,,,
346030739,28.08,2.31958762886598,-7.37257904611159,4656,4524,-7.37257904611159,,,,,
346035685,29.16,2.18358269308532,-14.16422992925,4946,4656,-14.16422992925,,,,,
346040887,30.24,2.07612456747405,-10.5890939703659,5202,4946,-10.5890939703659,,,,,
346046366,31.32,1.97116262091623,-9.8269774887953,5479,5202,-9.8269774887953,,,,,
346052361,32.4,1.80150125104254,-14.7865931561522,5995,5479,-14.7865931561522,,,,,
346058958,33.48,1.63710777626194,-13.055390309768,6597,5995,-13.055390309768,,,,,
346066363,34.56,1.45847400405132,-12.7577326246694,7405,6597,-12.7577326246694,,,,,
346075070,35.64,1.24038130240037,-13.5360415622486,8707,7405,-13.5360415622486,,,,,
346085965,36.72,0.991280403854979,-12.7079327897862,10895,8707,-12.7079327897862,,,,,
346103499,37.8,0.615946161742899,-13.2025130012339,17534,10895,-13.2025130012339,,,,,
