19:31:59:891,0.02,0.01,-0.37,,,,,,,,
19:31:59:894,0.02,0.04,0.34,,,,,,,,
19:31:59:896,0.08,0.1,2.31,,,,,,,,
19:31:59:899,0.13,0.15,3.12,,,,,,,,
19:31:59:901,0.2,0.19,-2.8,,,,,,,,
19:31:59:904,0.24,0.21,-6.21,,,,,,,,
19:31:59:907,0.26,0.25,-1.85,,,,,,,,
19:31:59:909,0.3,0.31,5.13,,,,,,,,
19:31:59:912,0.33,0.36,11.12,,,,,,,,
19:31:59:914,0.38,0.39,2.68,,,,,,,,
19:31:59:917,0.42,0.43,5.92,,,,,,,,
19:31:59:919,0.44,0.44,0.78,,,,,,,,
19:31:59:922,0.46,0.47,4.63,,,,,,,,
19:31:59:925,0.47,0.49,7.7,,,,,,,,
19:31:59:927,0.5,0.51,3.29,,,,,,,,
19:31:59:930,0.52,0.53,5.47,,,,,,,,
19:31:59:932,0.55,0.56,5,,,,,,,,
19:31:59:935,0.57,0.57,-0.21,,,,,,,,
19:31:59:938,0.59,0.6,6.07,,,,,,,,
19:31:59:940,0.61,0.62,6.87,,,,,,,,
19:31:59:943,0.63,0.64,7.73,,,,,,,,
19:31:59:946,0.64,0.66,9.4,,,,,,,,
19:31:59:948,0.66,0.67,6.4,,,,,,,,
19:31:59:951,0.7,0.7,6.21,,,,,,,,
19:31:59:953,0.73,0.74,5.93,,,,,,,,
19:31:59:956,0.76,0.78,9.8,,,,,,,,
19:31:59:959,0.79,0.79,1.1,,,,,,,,
19:31:59:961,0.8,0.81,10.64,,,,,,,,
19:31:59:964,0.82,0.84,15.95,,,,,,,,
19:31:59:967,0.86,0.86,7.24,,,,,,,,
19:31:59:969,0.88,0.9,14.36,,,,,,,,
19:31:59:972,0.9,0.9,4.92,,,,,,,,
19:31:59:975,0.91,0.9,-15.65,,,,,,,,
19:31:59:977,0.89,0.85,-30.36,,,,,,,,
19:31:59:980,0.87,0.88,3.81,,,,,,,,
19:31:59:983,0.88,0.9,15.05,,,,,,,,
19:31:59:985,0.89,0.9,3.23,,,,,,,,
19:31:59:988,0.89,0.89,4.01,,,,,,,,
19:31:59:990,0.88,0.88,0,,,,,,,,
19:31:59:993,0.86,0.87,5.1,,,,,,,,
19:31:59:996,0.89,0.9,9.04,,,,,,,,
19:31:59:998,0.92,0.93,7.22,,,,,,,,
19:32:00:001,0.94,0.94,-2.8,,,,,,,,
19:32:00:004,0.93,0.93,-4.56,,,,,,,,
19:32:00:006,0.92,0.92,-3.53,,,,,,,,
19:32:00:009,0.91,0.91,-5.12,,,,,,,,
19:32:00:012,0.9,0.91,10.79,,,,,,,,
19:32:00:014,0.9,0.91,3.38,,,,,,,,
19:32:00:017,0.9,0.89,-11.54,,,,,,,,
19:32:00:020,0.89,0.88,-8.61,,,,,,,,
19:32:00:022,0.87,0.86,-8.07,,,,,,,,
19:32:00:025,0.85,0.85,-4.16,,,,,,,,
19:32:00:028,0.84,0.84,3.37,,,,,,,,
19:32:00:031,0.84,0.84,-4.03,,,,,,,,
19:32:00:033,0.84,0.83,-4.6,,,,,,,,
19:32:00:036,0.83,0.83,-1.94,,,,,,,,
19:32:00:039,0.82,0.8,-12.79,,,,,,,,
19:32:00:041,0.81,0.82,6.15,,,,,,,,
19:32:00:044,0.82,0.82,-4.99,,,,,,,,
19:32:00:047,0.82,0.82,0.63,,,,,,,,
19:32:00:049,0.84,0.83,-3.99,,,,,,,,
19:32:00:052,0.85,0.85,3.5,,,,,,,,
19:32:00:054,0.87,0.87,2.99,,,,,,,,
19:32:00:057,0.88,0.89,7.75,,,,,,,,
19:32:00:060,0.89,0.89,2.4,,,,,,,,
19:32:00:062,0.89,0.89,-3.97,,,,,,,,
19:32:00:065,0.89,0.89,0.79,,,,,,,,
19:32:00:068,0.89,0.89,3.21,,,,,,,,
19:32:00:070,0.89,0.9,5.68,,,,,,,,
19:32:00:073,0.9,0.91,5.92,,,,,,,,
19:32:00:075,0.92,0.93,8.97,,,,,,,,
19:32:00:078,0.94,0.95,9.53,,,,,,,,
19:32:00:081,0.96,0.97,3.04,,,,,,,,
19:32:00:083,0.97,0.98,6.32,,,,,,,,
19:32:00:086,0.99,0.98,-3.23,,,,,,,,
19:32:00:088,0.99,0.99,1.09,,,,,,,,
19:32:00:091,1,1.01,11.45,,,,,,,,
19:32:00:094,1.03,1.04,16.29,,,,,,,,
19:32:00:096,1.05,1.05,9.21,,,,,,,,
19:32:00:099,1.07,1.07,4.15,,,,,,,,
19:32:00:102,1.06,1.07,17.77,,,,,,,,
19:32:00:104,1.08,1.08,4.26,,,,,,,,
19:32:00:107,1.08,1.11,34,,,,,,,,
19:32:00:110,1.14,1.13,-11.49,,,,,,,,
19:32:00:113,1.17,1.19,13.03,,,,,,,,
19:32:00:115,1.22,1.24,23.28,,,,,,,,
19:32:00:118,1.27,1.28,14.09,,,,,,,,
19:32:00:121,1.29,1.3,12.28,,,,,,,,
19:32:00:123,1.3,1.3,4.96,,,,,,,,
19:32:00:126,1.3,1.29,-22.26,,,,,,,,
19:32:00:129,1.28,1.28,2.37,,,,,,,,
19:32:00:131,1.28,1.29,14.22,,,,,,,,
19:32:00:134,1.3,1.3,4.96,,,,,,,,
19:32:00:136,1.31,1.31,2.53,,,,,,,,
19:32:00:139,1.32,1.32,2.62,,,,,,,,
19:32:00:142,1.31,1.32,7.78,,,,,,,,
19:32:00:144,1.31,1.31,-7.61,,,,,,,,
19:32:00:147,1.29,1.28,-12.15,,,,,,,,
19:32:00:150,1.26,1.24,-19.82,,,,,,,,
19:32:00:153,1.21,1.2,-7.87,,,,,,,,
19:32:00:155,1.24,1.24,2.15,,,,,,,,
19:32:00:158,1.26,1.27,20.49,,,,,,,,
19:32:00:161,1.28,1.28,0,,,,,,,,
19:32:00:163,1.29,1.29,0,,,,,,,,
19:32:00:166,1.28,1.27,-13.9,,,,,,,,
19:32:00:169,1.25,1.22,-27.77,,,,,,,,
19:32:00:172,1.2,1.19,-11.5,,,,,,,,
19:32:00:175,1.17,1.17,-1.8,,,,,,,,
19:32:00:178,1.15,1.16,12.29,,,,,,,,
19:32:00:180,1.16,1.16,7.08,,,,,,,,
19:32:00:183,1.15,1.15,3.44,,,,,,,,
19:32:00:186,1.13,1.12,-9.73,,,,,,,,
19:32:00:189,1.1,1.08,-17.63,,,,,,,,
19:32:00:191,1.05,1.04,-13.04,,,,,,,,
19:32:00:194,1.02,0.99,-23.03,,,,,,,,
19:32:00:197,0.98,0.97,-10.5,,,,,,,,
19:32:00:200,0.96,0.97,8.17,,,,,,,,
19:32:00:203,0.96,0.94,-25.37,,,,,,,,
19:32:00:206,0.92,0.9,-13.62,,,,,,,,
19:32:00:209,0.89,0.87,-16.73,,,,,,,,
19:32:00:211,0.87,0.86,-2.2,,,,,,,,
19:32:00:214,0.87,0.88,3.78,,,,,,,,
19:32:00:217,0.89,0.89,-0.8,,,,,,,,
19:32:00:220,0.88,0.87,-4.59,,,,,,,,
19:32:00:222,0.85,0.85,-4.89,,,,,,,,
19:32:00:225,0.83,0.82,-5.03,,,,,,,,
19:32:00:228,0.8,0.79,-8.63,,,,,,,,
19:32:00:231,0.78,0.78,-2.14,,,,,,,,
19:32:00:233,0.76,0.76,-2.02,,,,,,,,
19:32:00:236,0.75,0.74,-6.64,,,,19:32:00:279,40,Pulso,Propulsiva:,1434
19:32:00:239,0.73,0.71,-12.97,,,,19:32:00:279,,,,
19:32:00:242,0.69,0.68,-9.92,,,,19:32:00:281,,,,
19:32:00:245,0.67,0.67,0.68,,,,19:32:00:283,0.67,,,
19:32:00:247,0.67,0.67,1.02,,,,19:32:00:285,0.69,,,
19:32:00:250,0.66,0.65,-8.91,,,,19:32:00:287,1.21,,,
19:32:00:253,0.63,0.62,-11.6,,,,,,,,
19:32:00:256,0.61,0.6,-2,,,,,,,,
19:32:00:258,0.6,0.6,-1.46,,,,,,,,
19:32:00:261,0.59,0.56,-18.72,,,,,,,,
19:32:00:264,0.53,0.53,0.67,,,,,,,,
19:32:00:267,0.48,0.47,-6.78,,,,,,,,
19:32:00:269,0.47,0.48,3.34,,,,,,,,
19:32:00:272,0.46,0.44,-7.77,,,,,,,,
19:32:00:275,0.39,0.35,-13.57,,,,,,,,
